Time,Humphrey Hall,Jorns Halls,Gilman House,Mack House,Seed Building,DeJope Residence Hall,Phillips Residence Hall,Sullivan Residence Hall,Swenson House,Chamberlin Residence Hall,Cole Residence Hall,Veterinary Medicine Building,Tripp Residence Hall,Livestock Laboratory,Agricultural Engineering Laboratory,Veterinary Diagnostic Lab,Adams Residence Hall,Turner House, Kronshage Residence Hall, Leopold Residence Hall,Bakke Recreation & Wellbeing Center,Bradley Residence Hall,Jones Residence Hall,Goodnight Hall,Slichter Residence Hall,Carson Gulley Center
7/13/23 12:15,0.06 kW,0.17 kW,0.17 kW,0.06 kW,62.21 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.17 kW,0.06 kW,103.07 kW,0.17 kW,61.96 kW,41.10 kW,61.96 kW,0.17 kW,0.06 kW,0.17 kW,0.17 kW,367.78 kW,0.06 kW,0.17 kW,41.10 kW,0.17 kW,0.17 kW
7/13/23 12:30,0.06 kW,0.18 kW,0.18 kW,0.06 kW,64.24 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.18 kW,0.06 kW,107.36 kW,0.18 kW,64.00 kW,43.36 kW,64.00 kW,0.18 kW,0.06 kW,0.18 kW,0.18 kW,368.82 kW,0.06 kW,0.18 kW,43.36 kW,0.18 kW,0.18 kW
7/13/23 12:45,0.06 kW,0.18 kW,0.18 kW,0.06 kW,64.75 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.18 kW,0.06 kW,107.68 kW,0.18 kW,64.51 kW,43.17 kW,64.51 kW,0.18 kW,0.06 kW,0.18 kW,0.18 kW,369.07 kW,0.06 kW,0.18 kW,43.17 kW,0.18 kW,0.18 kW
7/13/23 13:00,0.06 kW,0.19 kW,0.19 kW,0.06 kW,67.09 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.19 kW,0.06 kW,111.77 kW,0.19 kW,66.84 kW,44.92 kW,66.84 kW,0.19 kW,0.06 kW,0.19 kW,0.19 kW,370.27 kW,0.06 kW,0.19 kW,44.92 kW,0.19 kW,0.19 kW
7/13/23 13:15,0.06 kW,0.19 kW,0.19 kW,0.06 kW,67.90 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.19 kW,0.06 kW,113.26 kW,0.19 kW,67.66 kW,45.60 kW,67.66 kW,0.19 kW,0.06 kW,0.19 kW,0.19 kW,372.27 kW,0.06 kW,0.19 kW,45.60 kW,0.19 kW,0.19 kW
7/13/23 13:30,0.06 kW,0.20 kW,0.20 kW,0.06 kW,69.94 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.20 kW,0.06 kW,115.77 kW,0.20 kW,69.70 kW,46.07 kW,69.70 kW,0.20 kW,0.06 kW,0.20 kW,0.20 kW,373.03 kW,0.06 kW,0.20 kW,46.07 kW,0.20 kW,0.20 kW
7/13/23 13:45,0.06 kW,0.21 kW,0.21 kW,0.06 kW,72.18 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.21 kW,0.06 kW,118.71 kW,0.21 kW,71.93 kW,46.78 kW,71.93 kW,0.21 kW,0.06 kW,0.21 kW,0.21 kW,372.98 kW,0.06 kW,0.21 kW,46.78 kW,0.21 kW,0.21 kW
7/13/23 14:00,0.06 kW,0.21 kW,0.21 kW,0.06 kW,74.34 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.21 kW,0.06 kW,121.94 kW,0.21 kW,74.08 kW,47.86 kW,74.08 kW,0.21 kW,0.06 kW,0.21 kW,0.21 kW,374.36 kW,0.06 kW,0.21 kW,47.86 kW,0.21 kW,0.21 kW
7/13/23 14:15,0.06 kW,0.22 kW,0.22 kW,0.06 kW,77.92 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.22 kW,0.06 kW,126.25 kW,0.22 kW,77.66 kW,48.59 kW,77.66 kW,0.22 kW,0.06 kW,0.22 kW,0.22 kW,378.07 kW,0.06 kW,0.22 kW,48.59 kW,0.22 kW,0.22 kW
7/13/23 14:30,0.06 kW,0.30 kW,0.30 kW,0.06 kW,81.80 kW,0.06 kW,0.06 kW,0.06 kW,0.06 kW,0.30 kW,0.06 kW,131.15 kW,0.30 kW,81.61 kW,49.54 kW,81.61 kW,0.30 kW,0.06 kW,0.30 kW,0.30 kW,383.46 kW,0.06 kW,0.30 kW,49.54 kW,0.30 kW,0.30 kW
